id,screenshot,timestamp,header,header_txt,combined_features,activity_label,process_id,case:concept:name,concept:name,time:timestamp
27,27_img.png,2024-05-10 10:01:21+00:00,Odoo - Invoices,27_ocr.txt,"[-0.0035481  -0.01722148 -0.00484389 ...  0.01362255  0.02914246
  0.015286  ]",4,5,5,4,2024-05-10 10:01:21+00:00
28,28_img.png,2024-05-10 10:01:23+00:00,Odoo - Customers,28_ocr.txt,"[-0.00460456 -0.012085   -0.00086267 ...  0.0210133   0.01811671
  0.01527546]",6,5,5,6,2024-05-10 10:01:23+00:00
29,29_img.png,2024-05-10 10:01:25+00:00,Odoo - Customer View,29_ocr.txt,"[-0.011317   -0.01170698 -0.00731294 ...  0.0148685   0.01100165
  0.01576048]",2,5,5,2,2024-05-10 10:01:25+00:00
30,30_img.png,2024-05-10 10:01:27+00:00,Odoo - Discuss,30_ocr.txt,"[-0.00399058 -0.00252308  0.00155621 ...  0.01465691 -0.00375801
  0.01883252]",7,6,6,7,2024-05-10 10:01:27+00:00
31,31_img.png,2024-05-10 10:01:29+00:00,Odoo - Invoices,31_ocr.txt,"[-0.00201278 -0.0192302  -0.002188   ...  0.01362255  0.02914246
  0.015286  ]",4,6,6,4,2024-05-10 10:01:29+00:00
32,32_img.png,2024-05-10 10:01:31+00:00,Odoo - Customer Payments,32_ocr.txt,"[-0.00909188 -0.01183606 -0.00557906 ...  0.0151419   0.02397895
  0.0278882 ]",5,6,6,5,2024-05-10 10:01:31+00:00
33,33_img.png,2024-05-10 10:01:33+00:00,Odoo - Draft Payment,33_ocr.txt,"[-0.0047569  -0.0244925  -0.00437878 ...  0.01196227  0.02009823
  0.01838724]",3,6,6,3,2024-05-10 10:01:33+00:00
34,34_img.png,2024-05-10 10:01:35+00:00,Odoo - PBNK1/2024/00026,34_ocr.txt,"[-0.00115359 -0.02432942 -0.00194753 ... -0.00109469  0.00442185
  0.01536545]",1,6,6,1,2024-05-10 10:01:35+00:00
35,35_img.png,2024-05-10 10:01:37+00:00,Odoo - INV/2024/00009,35_ocr.txt,"[ 0.00773532 -0.01843399  0.0011936  ...  0.01161217  0.01049275
  0.01146085]",0,6,6,0,2024-05-10 10:01:37+00:00
37,37_img.png,2024-05-10 10:01:41+00:00,Odoo - Discuss,37_ocr.txt,"[-0.00356336 -0.00311167  0.00214351 ...  0.01465691 -0.00375801
  0.01883252]",7,7,7,7,2024-05-10 10:01:41+00:00
38,38_img.png,2024-05-10 10:01:43+00:00,Odoo - Invoices,38_ocr.txt,"[-0.00297884 -0.01680838 -0.00456385 ...  0.01362255  0.02914246
  0.015286  ]",4,7,7,4,2024-05-10 10:01:43+00:00
39,39_img.png,2024-05-10 10:01:45+00:00,Odoo - Customers,39_ocr.txt,"[-0.00441917 -0.01218165 -0.00111428 ...  0.0210133   0.01811671
  0.01527546]",6,7,7,6,2024-05-10 10:01:45+00:00
40,40_img.png,2024-05-10 10:01:47+00:00,Odoo - Customer View,40_ocr.txt,"[-0.0053084  -0.01752298 -0.00771546 ...  0.0148685   0.01100165
  0.01576048]",2,7,7,2,2024-05-10 10:01:47+00:00
41,41_img.png,2024-05-10 10:01:49+00:00,Odoo - Discuss,41_ocr.txt,"[-0.00297234 -0.00231603  0.00099516 ...  0.01465691 -0.00375801
  0.01883252]",7,8,8,7,2024-05-10 10:01:49+00:00
42,42_img.png,2024-05-10 10:01:51+00:00,Odoo - Invoices,42_ocr.txt,"[-0.00067924 -0.01925146 -0.00347848 ...  0.01362255  0.02914246
  0.015286  ]",4,8,8,4,2024-05-10 10:01:51+00:00
